0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:42 -0600] "GET /metaplay/image/retrieve?foldername=album&filename=Unknown%20Mortal%20Orchestra HTTP/1.1" 200 7177
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:42 -0600] "GET /metaplay/image/retrieve?foldername=album&filename=Merriweather%20Post%20Pavilion HTTP/1.1" 200 7178
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:42 -0600] "GET /metaplay/image/retrieve?foldername=album&filename=Dummy HTTP/1.1" 200 19068
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:42 -0600] "GET /metaplay/resources/img/default.gif HTTP/1.1" 200 183849
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:42 -0600] "GET /metaplay/image/retrieve?foldername=album&filename=Boing%20Doing%20Going%20LP HTTP/1.1" 200 335335
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:45 -0600] "GET /metaplay/browse/album/21 HTTP/1.1" 200 7848
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:45 -0600] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:45 -0600] "GET /metaplay/resources/css/bootstrap-select.min.css HTTP/1.1" 200 6400
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:45 -0600] "GET /metaplay/resources/js/bootstrap-select.min.js HTTP/1.1" 200 23382
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:45 -0600] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 271682
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:45 -0600] "GET /metaplay/resources/img/vinyl.gif HTTP/1.1" 200 339376
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:45 -0600] "GET /metaplay/resources/img/toroymoi.gif HTTP/1.1" 200 120484
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:46 -0600] "GET /metaplay/image/retrieve?foldername=album&filename=Boing%20Doing%20Going%20LP HTTP/1.1" 200 335335
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:56 -0600] "GET /metaplay/browse/artist/38 HTTP/1.1" 200 9227
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:56 -0600] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:56 -0600] "GET /metaplay/resources/js/bootstrap-select.min.js HTTP/1.1" 200 23382
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:56 -0600] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 271682
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:56 -0600] "GET /metaplay/resources/css/bootstrap-select.min.css HTTP/1.1" 200 6400
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:56 -0600] "GET /metaplay/resources/js/singleArtistBiographyShowHide.js HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:56 -0600] "GET /metaplay/resources/img/vinyl.gif HTTP/1.1" 200 339376
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:56 -0600] "GET /metaplay/resources/img/francisdrake.gif HTTP/1.1" 200 178652
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:57 -0600] "GET /metaplay/image/retrieve?foldername=artist&filename=Be%20Quiet HTTP/1.1" 200 305484
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:57 -0600] "GET /metaplay/image/retrieve?foldername=album&filename=Boing%20Doing%20Going%20LP HTTP/1.1" 200 335335
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:16:26 -0600] "GET /metaplay/track/add HTTP/1.1" 200 11636
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:16:26 -0600] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:16:26 -0600] "GET /metaplay/resources/css/bootstrap-select.min.css HTTP/1.1" 200 6400
